ID	Adres	Soort	Datum	Omschrijving	Foto	COORDS	longitude	latitude
39	Herengracht 105	Bom, granaat, afweergeschut	11/05/1940	Bommen. Om 11.00 uur een hulpverlening Heerengracht hoek Blauwburgwal, waar 12 woningen getroffen waren door bommen uit een Duits vliegtuig. De schade was zeer groot. Er vielen 44 doden en 79 gewonden. 11.30 Rapporteert I.P. de Vries, dat om p.m. 11.00 een bominslag heeft plaats gehad in een perceel op de Blauwburgwal. Een groot aantal personen werd gedood. Het juiste aantal van dooden en gewonden kan niet worden opgegeven. Eenigen Percelen werden geheel vernield. Een groot aantal zwaar beschadigd. Het geteisterde gedeelte is afgezet. Het onderzoek wordt voortgezet.	010003042753.jpg	POINT(4.890334 52.376948)	4,890334	52,376948
40	Adelaarsweg 61	Overig	11/07/1940	Windscherm ongeveer 75 bij 60 cm met micaruit, uit een Duitse jager naar beneden gevallen. Gedeponeerd bij politiebureau Adelaarsweg		POINT(4.915271 52.386496)	4,915271	52,386496
41	Oranje Nassaulaan 27	Overig	12/07/1940	Niet-ontplofte granaat. bleek een zuurstoffles van een lichtkogel		POINT(4.861495 52.354274)	4,861495	52,354274
42	Woestduinstraat 44/hs	Bom, granaat, afweergeschut	14/07/1940	Niet-ontploft projectiel van 8 bij 2 cm		POINT(4.847666 52.353286)	4,847666	52,353286
43	Amsteldijk 60/hs	Bom, granaat, afweergeschut	19/07/1940	Niet-ontplofte Engelse Brandbom. De zoon van Roodkerk heeft op het weiland van Vink aan de Amsteldijk een niet-ontplofte Engelse brandbom gevonden en mee naar huis genomen.		POINT(4.906591 52.353845)	4,906591	52,353845
44	Sloterweg 790	Bom, granaat, afweergeschut	19/07/1940	2 bommen, waarschijnlijk ontploft . Achter perceel Sloterweg 790, ? 300 meter van de weg in het weiland. Kraters. geen schade.		POINT(4.81769 52.342091)	4,81769	52,342091
45	Poppendammergouw 16	Bom, granaat, afweergeschut	22 op 23 juli 1940 (8.45)	Vermoedelijk 5 bommen, waarvan 3 niet ontploft		POINT(5.000437 52.409956)	5,000437	52,409956
46	Kinkerstraat 43	Bom, granaat, afweergeschut	27/08/1940	Springstof / Bom. Keldervloer door middel van springstof stukgeslagen. De aldaar liggende bom is vrijgekomen. Geen persoonlijke ongelukken. geringe materi?le schade.		POINT(4.874257 52.367694)	4,874257	52,367694
47	Makassarstraat 60/III	Bom, granaat, afweergeschut	28 op 29 augustus 1940	Granaatsplinter binnengedrongen. Geen gewonden. schade gering.		POINT(4.940628 52.364152)	4,940628	52,364152
48	Witte de Withstraat 32	Bom, granaat, afweergeschut	30/08/1940	Granaatscherf. Politieagent door een granaatscherf getroffen. De verwonding is niet ernstig.		POINT(4.859506 52.366066)	4,859506	52,366066
49	Nobelweg 10	Bom, granaat, afweergeschut	30/08/1940	Bom ingeslagen. Terrein tussen Middenweg en Weesperzijde, in gebruik door het Duitse afweergeschut. [Frankendael?]		POINT(4.925987 52.349006)	4,925987	52,349006
50	Liergouw 34	Bom, granaat, afweergeschut	31/08/1940	Bominslag		POINT(4.968383 52.382049)	4,968383	52,382049
51	Durgerdammerdijk 29	Bom, granaat, afweergeschut	31/08/1940	Bominslag. Huis ingestort, een vrouw licht gewond. 21 percelen in Durgerdam lopen schade op aan meubilair, vensters, dakpannen en gevels.		POINT(4.985743 52.375683)	4,985743	52,375683
52	Marcusstraat 23/I	Bom, granaat, afweergeschut	31/08/1940	Granaatscherven		POINT(4.912851 52.351794)	4,912851	52,351794
53	Marcusstraat 25/hs	Omgevingsschade	31/08/1940			POINT(4.912968 52.351831)	4,912968	52,351831
54	Durgerdammerdijk 55	Bom, granaat, afweergeschut	31/08/1940	Bominslag. Weiland van Hendrik Honig. Koe gewond.  04.00 Rapporteert a.p. Keizer, dat hedennacht te p.m. 1 uur, een bom uit een vreemd vliegtuig is neergekomen en ontploft, op de glooiing van den Durgerdammerdijk(Zijde IJselmeer) ter hoogte van  perceel 29. Van een tiental perceelen werden de deuren en ramen beschadigd. De stroomdraden van het lichtnet werden vernield., waardoor de schade niet nauwkeurig kon worden opgenomen. De stroomdraden zijn door G.E. geisoleerd. Geen persoonlijke ongelukken.  08.05 Rapporteert de a.p. Keizer dat hedennacht in een weiland aan de Durgerdammerdijk nabij Durgerdam een bom is afgeworpen door een onbekend gebleven vliegtuig. De bom is ontploft en heeft een krater in het weiland geslagen van plm. 10 a 15 m. diameter. Een koe werd hierbij gewond en bekwam een gebroken poot. De koe behoort in eigendom aan veehouder Honing, wonende te Durgerdam 55. Geen persoonlijke ongelukken. 12.00 C.P. 1, dat in verband met mut. Sub. 4 uur van hedennacht, bij nader onderzoek is gebleken, dat van de percelen Durgerdammerdijk 14-15-18-19-21-22-24-25-26-27-28-29-30-31-38-39-41-46-49-50 en 56, de ruiten en dakpannen zijn vernield en binnenshuis schade aan het houtwerk en meubilair is aangebracht, van de percelen 25-26-27 en 29, zijn de  voorgevels door scherven beschadigd en ramen en deuren ontzet. In perceel 29, bewoond door Pasterkamp zijn de scherven door dak, voorgevel, plafond en kasten gedrongen, zodat de kleding van de familie Pasterkamp grootendeels vernield is. Mevrouw Paterkamp bekwam door een scherf een lichte verwonding aan haar linkerwang.		POINT(4.987509 52.376866)	4,987509	52,376866
55	IJdijk 10	Bom, granaat, afweergeschut	31/08/1940	Bom in het water. Enige ruiten van machinegebouw vernield		POINT(4.972784 52.371675)	4,972784	52,371675
56	Jacob van Lennepstraat 220	Bom, granaat, afweergeschut	01/09/1940	(Granaat?)scherven. Drie mensen licht gewond.		POINT(4.866878 52.364606)	4,866878	52,364606
57	Recht Boomssloot 99	Bom, granaat, afweergeschut	30/09/1940	08.00 Rapporteert rechercheur Jansen dat gebleken is dat op de Recht Boomssloot bij brug Oudeschans een bomkrater in de rijweg is geslagen. Eveneens voor perceel Oude waal 31 en in den speeltuin gelegen achter de huizen van Oude Waal en Oudeschans. Alle andere percelen bekwamen schade ten gevolgen van springen der ruiten. Tot nog toe zijn drie dooden overgebracht naar Binnen Gasthuis. De woonschuitbewoner liggende tegenover perceel Oudeschans 12, die te bed lag bekwam door glasscherven een dijbeenwonde.Hij is naar binnen Gasthuis vervoerd.	010003042758.jpg	POINT(4.9044 52.37182)	4,9044	52,37182
58	Mauritskade 60	Bom, granaat, afweergeschut	30/09/1940	Explosie van een projectiel van het afweergeschut. Ruiten gelijkvloers en op de eerste verdieping gesprongen		POINT(4.918162 52.361774)	4,918162	52,361774
59	Meteorenweg 270	Bom, granaat, afweergeschut	02/10/1940	Brisantbom ingeslagen en geëxplodeerd. Sloot langs de Melkweg bij Tuindorp Oostzaan.		POINT(4.87476 52.418278)	4,87476	52,418278
60	Oostzanerdijk 180	Bom, granaat, afweergeschut	02/10/1940	Brisantbom geëxplodeerd. Krater van 7 ? 8 meter, wegdek gevaarlijk gescheurd		POINT(4.86458 52.430169)	4,86458	52,430169
61	Bonairestraat 19	Bom, granaat, afweergeschut	07/10/1940	Granaatscherf. Dakgoot getroffen door granaatscherf		POINT(4.855272 52.360367)	4,855272	52,360367
62	Urkstraat 11	Bom, granaat, afweergeschut	07/10/1940	Brisantbom. Huizen gedeeltelijk ingestort. 2 doden, 3 zwaargewonden. [Achter de Urkschool gebouw getroffen, 1 gewonde. 02.30 Rapporteert de a.p. Huisman dat tegen 11.00in den avond op perceel Urkstraat 13, bewoond door de familie Kaman bestaande uit twee oude mensen, man en vrouw, een  bom is geworpen. Hierdoor werd de woning geheel vernield. Terwijl de bewoners hierbij beide om het leven kwamen. Volgens verklaring van omwonenden, bevonden zich tijdens de bominslag   eveneens drie onbekend gebleven personen, bij Kaman op bezoek. Deze personen werden alle drie gewond. En zijn door GG en GD naar een der gasthuizen vervoerd. Alsmede de vrouw van Kaman die toen reeds dood was. Het lijk van Kaman bevind zich nog onder de puinhopen, er kan in verband met de duisternis niet verder aan gewerkt worden, aangezien er geen licht gemaakt kan worden. Daar nog steeds vliegtuigen in de lucht zijn. In de buurt zijn eveneens van verschillende perceelen de ruiten gesprongen.(Al deze woningen ook het getroffene zijn gemeente woningen) Tevens werd perceel Urkstraat 11 door dezelfde bominslag beschadigd. De bewoners, man en vrouw werden hierbij niet getroffen. Deze menschen zijn bij hun zoon, Buiksloterweg 49, tijdelijk ondergebracht. Bij de ingestorte woningen is een enkel post geplaatst. Luchtbeschermingsdienst in kennis gesteld.		POINT(4.925253 52.394175)	4,925253	52,394175
63	Papaverweg 35	Bom, granaat, afweergeschut	07/10/1940	2 brisantbommen ingeslagen. Loods gedeeltelijk vernield. Begin van brand door het personeel geblust		POINT(4.905862 52.395383)	4,905862	52,395383
64	Lekstraat 56	Bom, granaat, afweergeschut	08/10/1940	Brisantbom. Hoekhuis Lekstraat-Rijnstraat ingestort. ?6 doden, 4 zwaargewonden, een aantal lichtgewonden.		POINT(4.906098 52.34517)	4,906098	52,34517
65	Vechtstraat 135-137	Omgevingsschade	08/10/1940	Huizen Vechtstraat 135-137: achterzijde weggeslagen	010003042760.jpg	POINT(4.908096 52.34223)	4,908096	52,34223
66	Eemsstraat 20-24	Omgevingsschade	08/10/1940	Huizen Eemsstraat 20-24: aan achterzijde beschadigd		POINT(4.908548 52.342466)	4,908548	52,342466
67	Vechtstraat 131	Bom, granaat, afweergeschut	08/10/1940	Bominslag. 2 doden		POINT(4.90808 52.342329)	4,90808	52,342329
68	Gillis van Ledenberchstraat 34	Bom, granaat, afweergeschut	08/10/1940	Bominslag. Veel materi?le schade		POINT(4.872557 52.377528)	4,872557	52,377528
69	Gillis van Ledenberchstraat 48	Bom, granaat, afweergeschut	08/10/1940	Bominslag?		POINT(4.872009 52.376672)	4,872009	52,376672
70	Tweede Hugo de Grootstraat 45	Bom, granaat, afweergeschut	08/10/1940	Bominslag. Post Stadsreiniging grotendeels vernield		POINT(4.871031 52.374879)	4,871031	52,374879
71	Van Hogendorpstraat 909	Bom, granaat, afweergeschut	08/10/1940	Bom geëxplodeerd op het dak. Waterreservoir waterleiding . Veel ruiten stuk		POINT(4.868055 52.381985)	4,868055	52,381985
72	Alexander Boersstraat 43	Bom, granaat, afweergeschut	08/10/1940	Brandbommen. Middelgrote branden in de huizen aan Alexander Boersstraat 43 en P.C. Hooftstraat 158. Drie kleine branden		POINT(4.877105 52.358809)	4,877105	52,358809
73	Van Baerlestraat 80	Omgevingsschade	08/10/1940			POINT(4.878958 52.357181)	4,878958	52,357181
74	Pieter Cornelisz. Hooftstraat 120	Omgevingsschade	08/10/1940			POINT(4.878869 52.359859)	4,878869	52,359859
75	Van Eeghenlaan 7	Bom, granaat, afweergeschut	08/10/1940	Brandbom		POINT(4.876534 52.358672)	4,876534	52,358672
76	Overtoom 2	Bom, granaat, afweergeschut	08/10/1940	Brandbom		POINT(4.878412 52.363884)	4,878412	52,363884
77	Javakade 2	Bom, granaat, afweergeschut	09/10/1940	Brandbom. Brand		POINT(4.932137 52.377574)	4,932137	52,377574
78	Javakade 4	Bom, granaat, afweergeschut	09/10/1940	2 brisantbommen		POINT(4.931975 52.37761)	4,931975	52,37761
79	Javakade 8	Bom, granaat, afweergeschut	09/10/1940	Brandbom		POINT(4.931975 52.37761)	4,931975	52,37761
80	Javakade 10	Bom, granaat, afweergeschut	09/10/1940	Brandbom op terrein waterzijde. brandbom op terrein landzijde		POINT(4.931975 52.37761)	4,931975	52,37761
81	Sloterkade 136	Bom, granaat, afweergeschut	11/10/1940	Bomaanval. Zandschuit gezonken, [Bij de bomaanval op Amsterdam-West vielen 2 doden, 5 zwaargewonden en 6 lichtgewonden.]		POINT(4.852013 52.351805)	4,852013	52,351805
82	Legmeerstraat 67	Bom, granaat, afweergeschut	11/10/1940	Bomaanval. Achtergevel uitgeslagen, [Bij de bomaanval op Amsterdam-West vielen 2 doden, 5 zwaargewonden en 6 lichtgewonden.]		POINT(4.851588 52.351821)	4,851588	52,351821
83	Piet Gijzenbrugstraat 17	Bom, granaat, afweergeschut	11/10/1940	Bom door het dak. Vermoedelijk niet ontploft. [Bij de bomaanval op Amsterdam-West vielen 2 doden, 5 zwaargewonden en 6 lichtgewonden.] 07.00 Rapp. H.I.P. dezer dat tijdens luchtaanvallen te plusm. 3 uur de navolgende ongevallen hebben plaatsgehad` 1. Ten gevolge van bominslag Piet Gijzenburgstraat werd mevr. Den Hartog gedood. (Haar man is op bouwdienst) Mej. Hartog die daar sliep werd ernstig aan haar linkerhand gewond. 2. Dhr. Visser, Gijzenburgstraat 15, ernstig hoofdwonder. Zijn echtgenoote de Raad, ernstige hoofdwonde. Mevr. De Gast, gekneusde arm. De aldaar ingeslagen bom is waarschijnlijk niet ontploft. En ligt in de keuken van perceel 19hs. 3. Op het Hoofddorpplein hoek Aalsmeerweg is een bom ingeslagen. Waardoor een groot aantal ruiten in de omgeving zijn vernield.  4. In de Legmeerstraat achter perceel 67 is een bom ingeslagen waardoor de achterzijde der woningenernstig zijn beschadigd. Voorzover is na te gaan geen dooden of gewonden. 5. In perceel Stolwijkstraat 22hs. Is een bom ingeslagen waardoor in dit benedenhuis een man is gedood. Naam enz. konden nog niet worden geconstateerd. En vrouw ernstig gewond. De woningen in de omgeving werden ernstig beschadigd en van perceel 20 en 24 ontruimd. 6. In perceel Hoofddorpweg 8 is aan de achterzijde een bom ingeslagen en niet ontploft. Verschillende bewoners van de percelen welke beschadigd of ontruimd zijn . Zijn ondergebracht in de school Hillegomstraat. De dooden en gewonden zijn alle naar het Wilh. Gasthuis overgebracht.  De omgeving van perceel P. Gijzenburgstraat 17 is binnen een straal van 50 m. geheel ontruimd.		POINT(4.84701 52.350461)	4,84701	52,350461
84	Stolwijkstraat 22	Bom, granaat, afweergeschut	11/10/1940	Bomaanval. Huis ingestort. [Bij de bomaanval op Amsterdam-West vielen 2 doden, 5 zwaargewonden en 6 lichtgewonden.]		POINT(4.848283 52.350817)	4,848283	52,350817
85	Hoofddorpplein 2	Bom, granaat, afweergeschut	11/10/1940	Bominslag in straat. Ruiten defect. [Bij de bomaanval op Amsterdam-West vielen 2 doden, 5 zwaargewonden en 6 lichtgewonden.]		POINT(4.85064 52.35125)	4,85064	52,35125
86	Maanstraat 27	Bom, granaat, afweergeschut	11/10/1940	Bominslag. Huis ingestort.[3 april 1941: `Niet-geëxplodeerde bom, welke op 11 October 1940 achter perceel Maanstraat 27 gevallen was, tot ontploffing gebracht. Dit perceel werd zwaar beschadigd.`]		POINT(4.887666 52.413085)	4,887666	52,413085
87	Planetenplein 2	Bom, granaat, afweergeschut	11/10/1940	Bominslag. Ruiten defect		POINT(4.890757 52.413969)	4,890757	52,413969
